Swing/Take,Outs,runners_code,count_code,PlateLocHeight,PlateLocSide,ERV_delta
Swing,2,1,8,2.34834,-0.24288,-0.05025461969906414
Swing,0,0,5,4.30244,0.3337,0.0
Swing,1,1,9,2.91158,0.08994,0.01451122407835187
Swing,1,1,7,3.59312,0.93171,0.00022020246145342676
Swing,1,1,8,2.8042,0.7132,-0.036325517338175566
Swing,2,1,9,2.48555,-0.55945,0.01451122407835187
Swing,2,1,7,2.6254,0.0733,0.00022020246145342676
Swing,2,1,3,2.2488,-0.41199,0.0
Swing,2,1,3,3.15957,0.13933,0.0
Swing,2,1,3,3.34259,0.26748,0.0
Swing,2,1,3,2.05613,-0.27342,-0.05041031652989449
Swing,0,0,2,2.16831,-0.58354,0.0010997696381578118
Swing,1,0,1,1.3667,-0.9698,4.800490696603606e-05
Swing,2,0,6,1.95349,-0.90001,-0.011638647699981526
Swing,0,0,5,2.6726,-0.56492,-0.0010997696381578118
Swing,0,0,4,2.7724,0.20203,-0.0006141007563030907
Swing,0,0,1,1.33447,0.82316,0.0
Swing,0,1,6,2.48871,-0.21515,0.003829026067189628
Swing,0,1,10,2.07303,0.13396,0.00364587352318195
Swing,0,7,9,2.4656,0.60434,1.9104122970104107
Swing,0,3,0,1.37764,-0.37987,-0.016363848192700897
Swing,1,3,4,0.28782,0.25461,0.025854305360679064
Swing,1,3,8,1.40938,0.32985,-0.08106020446800453
Swing,2,3,5,2.76993,-0.17374,0.01948347037035504
Swing,2,3,2,3.18848,0.41775,-0.003119622177654144
Swing,0,0,2,2.86561,0.62017,-0.001150551464057849
Swing,0,0,1,2.88596,0.37925,0.03080656604747162
Swing,0,2,5,1.90714,0.96566,0.0
Swing,1,2,6,1.69199,0.60972,-0.020791514598540145
Swing,2,2,4,2.72224,-1.18829,0.014475949948341185
Swing,2,2,1,2.0449,-0.56988,-0.07556702888244107
Swing,0,0,7,2.56744,1.00529,0.007571261813518613
Swing,0,1,7,1.75653,-0.19636,0.00022020246145342676
Swing,0,1,3,2.82805,1.45094,0.0
Swing,0,1,8,2.75821,0.85191,0.9636744826618245
Swing,0,1,2,3.28841,-0.78727,-0.003650642863614391
